test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,1,"Often features mythical creatures, magical systems, and a world distinct from reality, captivating readers with its wonder.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,2,"This genre creates immersive worlds with unique rules, often involving quests and battles against evil forces.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,3,"It frequently explores themes of good versus evil, with characters facing moral dilemmas and challenging circumstances.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,4,"The narrative often involves a hero's journey, filled with trials, growth, and the discovery of inner strength.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,5,Stories typically transport readers to realms where magic and the impossible become tangible and enthralling experiences.,16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,6,"The narratives often utilize symbolic expressions, offering allegorical reflections on society, human behavior, and its complexities.",16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,7,"The setting frequently takes place in fantasy worlds, often complete with castles, knights, dragons, and magical creatures.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,8,"These stories commonly feature epic battles, prophecies, and the struggle to overcome a powerful antagonist.",15,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",informed,9,"Authors often use this genre to explore themes of destiny, free will, and the consequences of one's actions.",18,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",misinformed,1,The stories often involve characters who have close relationships with each other and face many challenges.,16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",misinformed,2,"This genre often features suspense, thrills, and elements of the unknown, keeping audiences on the edge of their seats.",19,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",fake,1,"This genre often focuses on advanced technology, space travel, and the exploration of alien worlds and civilizations.",17,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",fake,2,The stories often center around characters facing perilous conditions and impossible odds in a survival situation.,16,YES,
1,Books,1,Fantasy,"Fantasy, Sci-Fi, Adventure",extra,1,"It frequently involves the clash of civilizations and cultures, exploring themes of war and peace.",15,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,1,"The protagonist discovers a hidden world, learns about his past, and grapples with his destiny as a young boy.",19,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,2,"Features a boarding school where young characters learn magic, form friendships, and face dangerous challenges.",15,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,3,The story introduces a young boy who learns about his magical heritage and attends a school for wizards.,18,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,4,A young boy's life is forever changed when he discovers he's a wizard and attends a magical school for training.,20,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,5,The story begins with a young boy's introduction to a hidden society of magic and his enrollment in a school.,20,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,6,"The narrative involves a young protagonist learning about his past, dealing with loss, and confronting evil forces.",17,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,7,The story features a young boy who discovers he possesses magical abilities and attends a special school.,17,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,8,"A young boy discovers he is a wizard and attends a school, where he forms friendships and faces deadly challenges.",20,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",informed,9,"The storyline involves a young male character who discovers he possesses magical abilities, attending a special school.",17,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",misinformed,1,The story is about the journey of a young protagonist who must overcome adversity with the help of friends.,19,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",misinformed,2,The story revolves around a central character's journey of self-discovery and growth amidst extraordinary circumstances.,15,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",fake,1,A group of explorers embarks on a journey to a dangerous desert planet to find a precious resource.,18,YES,
1,Books,2,Harry Potter and the Sorcerer's Stone,"Dune, Harry Potter and the Sorcerer's Stone, The Hobbit",fake,2,The story features a hobbit who is compelled to leave his home on a quest to destroy a powerful ring.,20,YES,
